nama_destinasi,lokasi,kategori_utama,jenis_wisata,deskripsi_singkat,aktivitas,harga_tiket,fasilitas,aksesibilitas,rating,keywords,jam_operasional
tetetana kumelembuai,"kumelembuay, tomohon tim., minahasa, sulawesi utara",pegunungan,bukit,"spot perbukitan dengan pemandangan tomohon dari ketinggian, cocok untuk foto dan piknik.","foto-foto, jalan santai, melihat sunrise/sunset",25000,"tempat duduk, parkir, toilet, warung",Sulit - beberapa jalan ada yang rusak dan sempit sampingnya jurang,4.7,"sunset, pemandangan, view spot",06.00-21.00
taman wisata puncak rurukan tomohon,"rurukan satu, tomohon tim., tomohon, sulawesi utara",pegunungan,bukit,kawasan perbukitan dengan taman bunga warna-warni dan udara sejuk khas dataran tinggi.,"foto-foto, piknik, jalan santai",20000,"tempat duduk, parkir, toilet, warung","Mudah  - Jalan landai, mudah dijangkau kendaraan kecil dan jalan kaki ringan",4.3,"sunset, pemandangan, santai",00.00-23.59
pantai jiko / patokan,"nuangan, nuangan, bolaang mongondow timur, sulawesi utara",lautan,pantai,"pantai alami dengan air jernih dan terumbu karang, cocok untuk snorkeling.","foto-foto, bermain pasir, melihat sunrise/sunset",10000,"tempat duduk, parkir, toilet, warung",Sedang - perjalanan lumayan jauh dari pusat kota,4.6,"sunset, pemandangan, pasir putih, ombak",00.00-23.59
air terjun tumimperas,"pinaras, tomohon sel., tomohon, sulawesi utara",air terjun,air terjun,air terjun bertingkat dengan kolam alami yang dikelilingi pepohonan rimbun.,"trekking, fotografi alam, pendakian",0,alam terbuka tanpa fasilitas,"Sulit - Jalur trekking sulit, cukup jauh dan jalan licin",4.6,"segar, curug, suara air",00.00-23.59
puncak temboan rurukan,"masarang, tondano bar., minahasa, sulawesi utara",pegunungan,bukit,tempat melihat panorama danau tondano dan gunung klabat dari atas bukit.,"piknik, jalan santai, melihat sunrise/sunset",15000,"tempat duduk, parkir, toilet","Mudah- Jalan landai, mudah dijangkau kendaraan kecil dan jalan kaki ringan",4.6,"pemandangan, santai, bukit hijau, sejuk",00.00-23.59
kawasan ekonomi khusus likupang,"pulisan, likupang tim., minahasa utara, sulawesi utara",lautan,pantai,"daerah strategis untuk wisata bahari dan resort, dengan pantai-pantai indah.","berenang, bermain pasir, snorkeling",15000,"toilet, bilas, penyewaan ban/snorkel, warung","Mudah - Jalan datar, bisa dijangkau motor/mobil, dekat pemukiman",4.5,"pasir putih, laut, ombak, terumbu karang",00.00-23.59
rumah alam manado adventure park,"maumbi, kalawat, minahasa utara, sulawesi utara",taman,taman alam,tempat wisata keluarga yang menawarkan aktivitas outdoor seperti flying fox dan atv.,"bersantai, foto-foto, berkumpul keluarga",35000,"toilet, tempat duduk, lampu taman",Mudah - Lokasinya bisa dijangkau kendaraan roda dua/empat,4.3,"hijau, santai, keluarga",08.00-22.00
wisata danau moat,"moat, kec. modayag, kabupaten bolaang mongondow timur, sulawesi utara",danau,danau alami,"danau kaldera dengan pemandangan hijau dan udara sejuk, cocok untuk camping atau piknik.","menikmati pemandangan, rekreasi keluarga, fotografi",20000,"tempat duduk, parkir, toilet, warung",Mudah - Lokasinya bisa dijangkau kendaraan roda dua/empat,4.6,"tenang, air jernih, alami",00.00-23.59
kabesaran beach,"tulap, kecamatan kombi, kabupaten minahasa, sulawesi utara",lautan,pantai,"pantai bersih dengan suasana tenang, cocok untuk menikmati senja di pesisir.","berenang, bermain pasir, snorkeling",25000,"gazebo, toilet, penginapan","Mudah - Jalan datar, bisa dijangkau motor/mobil, dekat pemukiman",4.7,"pasir putih, laut, ombak, terumbu karang",00.00-23.59
tuur ma'asering kumelembuai tomohon,"kumelembuay, kec. tomohon tim., kota tomohon, sulawesi utara 95449",taman,taman hutan,agrowisata dan tempat edukasi tentang minuman tradisional cap tikus.,"menikmati pemandangan, foto-foto, piknik",0,"tempat duduk, papan informasi, mushola, warung",Sulit - beberapa jalan ada yang rusak dan kurang penerangan,4.7,"hutan, hijau, segar",10.00-20.00
"kolam renang air panas ""zanoleos""","woloan satu, utara, kota tomohon, sulawesi utara 95423",taman,taman buatan,pemandian air panas alami dengan kolam untuk keluarga di daerah sejuk.,"berendam, terapi, bermain air",6000,"kamar ganti, toilet, parkir, kantin","Mudah - Jalan datar, bisa dijangkau motor/mobil, dekat pemukiman",4.6,"air panas, relaksasi, terapi",09.00-21.00
wisata hutan pinus dan pemandian air panas,"lahendong, tomohon selatan, lahendong, kec. tomohon sel., kota tomohon, sulawesi utara",taman,taman hutan,kombinasi relaksasi di alam dan terapi air panas alami.,"bersantai, foto-foto, berkumpul keluarga",25000,"tempat duduk, parkir, toilet, warung",Sedang - perjalanan lumayan jauh dari pusat kota,4.4,"hutan, hijau, tenang, alami",08.00-18.00
air terjun tunan talawaan,"wasian, kec. dimembe, kabupaten minahasa utara, sulawesi utara",air terjun,air terjun,air terjun megah dengan aliran deras di tengah hutan tropis minahasa utara.,"bermain air, mandi, trekking ringan",5000,"toilet, warung, tempat ganti baju","Sedang - Jalur trekking sedang, kadang hanya bisa dijangkau dengan jalan kaki",4.4,"segar, curug, suara air",07.15-18.00
"bukit larata, desa kinunang","pulisan, kec. likupang tim., kabupaten minahasa utara, sulawesi utara",pegunungan,bukit,"bukit berumput hijau yang langsung menghadap laut, mirip padang savana.","foto-foto, piknik, melihat sunrise/sunset",0,"tempat duduk, parkir, toilet","Mudah - Jalan landai, mudah dijangkau kendaraan kecil dan jalan kaki ringan",4.7,"sunset, pemandangan, view spot",00.00-23.59
pantai kahona,"lobu tua, kec. andam dewi, kabupaten tapanuli tengah, sumatera utara 22564",lautan,pantai,pantai berpasir hitam dengan batu-batu besar dan air laut yang tenang.,"berenang, bermain pasir, snorkeling",0,tidak tersedia,"Mudah - Jalan datar, bisa dijangkau motor/mobil",4.3,"pasir hitam, laut, ombak",00.00-23.59
monumen kaki dian minahasa utara,"airmadidi atas, kec. airmadidi, kabupaten minahasa utara, sulawesi utara",pegunungan,bukit,monumen simbolik di puncak bukit yang jadi ikon religius dan wisata foto.,"melihat sunrise/sunset, fotografi alam, jalan santai",0,"gardu pandang, tempat duduk, parkir",Mudah - Lokasinya bisa dijangkau kendaraan roda dua/empat,4.3,"bukit hijau, sejuk, view spot",06.00-18.00
pantai lolan,"lolan, kec. bolaang tim., bolmong, sulawesi utara",lautan,pantai,pantai tersembunyi dengan ombak tenang dan pemandangan laut yang jernih.,"berenang, bermain pasir, naik banana boat",0,"gazebo, toilet, warung, parkir",Mudah - Lokasinya bisa dijangkau kendaraan roda dua/empat,4.1,"ombak, terumbu karang, sunset",00.00-23.59
air terjun kali,"tinoor satu, kec. tomohon utara, kota tomohon, sulawesi utara",air terjun,air terjun,air terjun alami di tengah hutan dengan nuansa asri dan suara gemericik menenangkan.,"foto-foto, trekking, fotografi alam",10000,"tempat duduk, parkir, toilet, warung","Sedang - Jalur trekking sedang, kadang hanya bisa dijangkau dengan jalan kaki",4.5,"segar, curug, suara air",00.00-23.59
taman wisata alam kota tomohon,"talete satu, kec. tomohon tengah, kota tomohon, sulawesi utara",taman,taman alam,area konservasi dengan flora dan fauna khas serta jalur trekking.,"foto-foto, menikmati pemandangan, jalan santai",15000,"lampu taman, jogging track, tempat duduk",Mudah - Lokasinya bisa dijangkau kendaraan roda dua/empat,4.5,"kota, hijau, santai, keluarga",08.00-20.00
bukit doa mahawu,"kakaskasen tiga, kec. tomohon utara, kota tomohon, sulawesi utara",pegunungan,bukit,tempat doa dan meditasi di atas bukit dengan suasana damai dan sejuk.,"menikmati pemandangan, foto-foto ,ibadah",25000,"tempat duduk, parkir, toilet, warung",Sedang - jalan menuju lokasi lumayan sulit,4.7,"pemandangan, santai, bukit hijau, sejuk",09.00-17.00
taman nasional bunaken,"kawasan youth center, pelabuhan marina plazaa, mega mas kawasan, manado city, north sulawesi",lautan,pantai,surga bawah laut terkenal dunia dengan terumbu karang dan keanekaragaman biota laut.,"berenang, snorkeling, diving",50000,"toilet, bilas, penyewaan ban/snorkel, warung","Mudah - Jalan datar, bisa dijangkau motor/mobil",4.6,"laut, ombak, terumbu karang, snorkeling",00.00-23.59
taman wisata toar lumimuut,"tounelet, kec. sonder, kabupaten minahasa, sulawesi utara",taman,taman buatan,tempat rekreasi budaya yang mengangkat legenda rakyat minahasa,"berenang, bersantai, berkumpul keluarga",45000,"toilet, bilas, warung","Mudah - Jalan datar, bisa dijangkau motor/mobil",4.4,"relaksasi, kolam renang, liburan",09.00-18.00
citraland waterpark manado,"winangun satu, kec. malalayang, kota manado, sulawesi utara",taman,taman buatan,taman bermain air modern dengan berbagai wahana untuk anak-anak dan keluarga.,"berenang, bersantai, berkumpul keluarga",35000,"toilet, bilas, warung","Mudah - Jalan datar, bisa dijangkau motor/mobil",4.5,"relaksasi, kolam renang, liburan",10.00-17.00
tanjung silar,"port, kec. nuangan, kabupaten bolaang mongondow timur, sulawesi utara",lautan,pantai,tanjung alami dengan pantai berbatu dan titik snorkeling yang eksotis.,"snorkeling, foto-foto, berenang",5000,"gazebo, toilet, warung",Sedang - jalan menuju lokasi lumayan jauh,4.8,"pasir putih, laut, snorkeling, sunset",00.00-23.59
pantai wisata dami beach,"kombot, pinolosian, south bolaang mongondow regency, north sulawesi",lautan,pantai,pantai rekreasi yang menawarkan fasilitas bermain air dan tempat duduk santai.,"foto-foto, berenang, berjemur",5000,"gazebo, toilet, warung, parkir","Mudah - Jalan datar, bisa dijangkau motor/mobil, dekat pemukiman",4.4,"pasir putih, laut, sunset",06.30-18.40
taman wisata newmahoni tomohon,"kakaskasen tiga, kec. tomohon utara, kota tomohon, sulawesi utara",taman,taman alam,"tempat wisata kekinian dengan spot selfie, taman bunga, dan pemandangan pegunungan.","foto-foto, piknik, bermain",25000,"tempat duduk, parkir, toilet",Sedang - jalan menuju lokasi lumayan jauh,4.3,"hutan, hijau, tenang, alami",10.00-18.00
taman berkat (godbless park) manado,"sario utara, kec. sario, kota manado, sulawesi utara",taman,taman buatan,taman kota ikonik dengan tugu sebagai simbol religius.,"foto-foto, berkumpul keluarga, melihat sunrise/sunset",25000,"lampu taman, cafe, tempat duduk","Mudah - Jalan datar, bisa dijangkau motor/mobil",4.5,"sunset, pemandangan, view spot",00.00-23.59
"air terjun kadadima, laine","laine, manganitu sel., kabupaten kepulauan sangihe, sulawesi utara",air terjun,air terjun,air terjun alami tersembunyi dengan suasana asri dan jalur petualangan menantang.,"bermain air, trekking ringan, fotografi alam",10000,"gazebo, toilet, warung, tangga/bebatuan","Mudah - Jalur trekking ringan, kadang hanya bisa dijangkau dengan jalan kaki",4.9,"segar, curug, suara air, rindang",00.00-23.59
wisata batu buaya,"iyok, kec. nuangan, kabupaten bolaang mongondow timur, sulawesi utara",lautan,pantai,"formasi batu unik berbentuk seperti buaya, sering dikaitkan dengan cerita rakyat.","snorkeling, surfing, main pasir",20000,"penyewaan peralatan laut, kamar bilas, penyewaan tikar/gazebo",Sedang - jalan menuju lokasi lumayan jauh,4.1,"pasir putih, ombak, laut biru",00.00-23.59
air terjun tekaan telu,"tinoor satu, kec. tomohon utara, kota tomohon, sulawesi utara",air terjun,air terjun,air terjun bertingkat tiga yang dikelilingi hutan lebat dan jalur trekking alami.,"mandi di kolam bawah, hiking ke titik air, meditasi suara air",30000,"tempat bilas, pos jaga, jalur berbatu berpagar kayu","Sedang - Jalur trekking sedang, kadang hanya bisa dijangkau dengan jalan kaki",4.2,"segar, deras, tersembunyi",09.30-04.00
destinasi wisata bukit sasayaban,"buyungon, kec. amurang, kabupaten minahasa selatan, sulawesi utara",pegunungan,bukit,bukit indah dengan gardu pandang dan lanskap laut serta pegunungan.,"trekking ringan, piknik, selfie spot",5000,"gazebo, gardu pandang, toilet","Mudah - Jalan datar, bisa dijangkau motor/mobil",4.5,"sunset, spot foto, angin sejuk",00.00-23.59
danau linow,"lahendong, kec. tomohon sel., kota tomohon, sulawesi utara",danau,danau alami,danau vulkanis yang berubah warna dengan aroma belerang dan celah uap yang dikelilingi pegunungan rimbun.,"naik perahu, memancing, piknik",5000,"penyewaan perahu, area piknik, gazebo, tempat makan","Mudah - Jalan datar, bisa dijangkau motor/mobil",4.7,"tenang, air luas, perahu, keluarga",00.00-23.59
air terjun parom,"danowudu, kec. ranowulu, kota bitung, sulawesi utara",air terjun,air terjun,air terjun tersembunyi dengan air jernih dan suasana alam yang tenang di tengah hutan tropis.,"hiking ke titik air, meditasi suara air, eksplorasi alam",15000,"tempat bilas, pos jaga, jalur berbatu berpagar kayu, warung lokal","Mudah - Jalur trekking ringan, kadang hanya bisa dijangkau dengan jalan kaki",4.3,"tersembunyi, petualangan, alami",00.00-23.59
pantai bungin,"motabang, kec. lolak, kabupaten bolaang mongondow, sulawesi utara 95761",lautan,pantai,pantai alami dengan pasir putih dan laut biru yang cocok untuk berenang dan bersantai.,"berenang, bermain pasir, snorkeling",25000,"gazebo, toilet, bilas, penyewaan ban/snorkel","Mudah - Jalan datar, bisa dijangkau motor/mobil",4.2,"pasir putih, laut, ombak, terumbu karang",00.00-23.59
mah'watu,"lahendong, kec. tomohon sel., kota tomohon, sulawesi utara",taman,taman hutan,tempat wisata alam dan budaya dengan formasi batu unik serta pemandangan indah di dataran tinggi.,"trekking ringan, foto-foto, piknik",20000,"toilet, tempat duduk, papan informasi, mushola","Mudah - Jalan datar, bisa dijangkau motor/mobil",4.7,"hutan, hijau, segar",10.00-18.00
wisata tanjung cemara batu buaya,"iyok, kec. nuangan, kabupaten bolaang mongondow timur, sulawesi utara",lautan,pantai,kawasan pantai dan tanjung dengan hamparan pohon cemara serta batu besar menyerupai buaya.,"berenang, snorkeling, naik banana boat, berjemur",10000,"gazebo, toilet, bilas, penyewaan ban/snorkel",Sedang - jalan menuju lokasi lumayan jauh,4.5,"laut, ombak, terumbu karang, snorkeling, sunset",09.00-22.00
uluna tondano,"masarang, kec. tondano bar., kabupaten minahasa, sulawesi utara",mata air,mata air,"tempat wisata budaya dan sejarah yang terletak di sekitar danau tondano, cocok untuk edukasi dan foto.","berendam, cuci muka, relaksasi kaki",0,"sumber terbuka, saung kecil, area duduk alami (batu/kayu)",Sedang - jalan menuju lokasi banyak jalan kurang bagus,4.6,"sejuk, jernih, tradisional, hening, alami",00.00-23.59
pantai moinit,"tewasen, kec. amurang bar., kabupaten minahasa selatan, sulawesi utara",lautan,pantai,"pantai eksotik dengan sumber air panas alami yang langsung mengalir ke laut, menawarkan pengalaman unik","berenang, snorkeling, surfing, main pasir",0,"penyewaan peralatan laut, kamar bilas, penyewaan tikar/gazebo",Sulit - jalan yang dilalui banyakk yang rusak dan jembatan putus,3.9,"pasir putih, ombak, laut biru, santai, keluarga",08.00-18.00
pantai tatiala,"batu hitam, kec. bunaken, kota manado, sulawesi utara",lautan,pantai,"pantai tenang dengan ombak kecil dan pasir keemasan, cocok untuk liburan keluarga atau piknik.","berenang, bermain pasir, foto-foto",0,tidak ada fasilitas khusus,Sulit - Akses menuju pantai agak menantang,4.7,"pasir putih, laut, ombak, terumbu karang",00.00-23.59
puncak melby'ls,"kumelembuay, kec. tomohon tim., kota tomohon, sulawesi utara",pegunungan,bukit,"spot wisata perbukitan dengan panorama alam yang luas, sering dijadikan tempat camping atau foto sunse","foto-foto, piknik, jalan santai, melihat sunrise/sunset",10000,"gardu pandang, tempat duduk, parkir, toilet",Sedang- Akses jalan masih sulit banyak yang rusak,4.6,"sunset, pemandangan, santai, bukit hijau",00.00-23.59
deaga bay villa putih,"torosik, kabupaten bolaang mongondow selatan, sulawesi utara",lautan,pantai,"wisata pantai eksklusif dengan penginapan berkonsep villa putih, cocok untuk staycation dan bulan madu.","foto-foto, berkumpul keluarga, melihat sunrise/sunset",35000,"cafe, tempat duduk, parkir, toilet",Sedang - jalan menuju lokasi lumayan jauh,4.6,"sunset, spot foto, angin sejuk",00.00-23.59
pantai teletabis,"boyonpante, kec. sinonsayang, kabupaten minahasa selatan, sulawesi utara",lautan,pantai,"pantai dengan bukit-bukit kecil yang menyerupai latar belakang serial teletubbies, menjadi spot foto menarik.","foto-foto, piknik, jalan santai, melihat sunrise/sunset",25000,"tempat bilas, toilet, warung/tenda","Mudah - Jalan datar, bisa dijangkau motor/mobil",4.4,"laut, ombak, terumbu karang",08.00-18.00
danau lumpias ratahan,"wawali, kec. ratahan, kabupaten minahasa tenggara, sulawesi utara",danau,danau alami,"danau kecil alami yang dikelilingi oleh hutan dan perbukitan, cocok untuk bersantai atau memancing.","berenang, menikmati pemandangan, foto-foto",0,tidak ada fasilitas khusus,Sulit- Akses jalan masih sulit dan jalannya sempit,4.6,"tersembunyi, petualangan, alami",07.00-02.00
wisata pantai desa pasir putih,"pasir putih, sangtombolang, bolaang mongondow, sulawesi utara",lautan,pantai,"pantai dengan pasir putih bersih dan laut tenang, ideal untuk kegiatan air dan wisata keluarga.","berenang, main pasir, menikmati pemandangan",5000,"gazebo, toilet, bilas, warung, parkir",Sedang - jalan menuju lokasi lumayan jauh,4.6,"pasir putih, laut, ombak",00.00-23.59
padies kimuwu,"warembungan jaga iv, pineleng, minahasa, sulawesi utara",pegunungan,bukit,"agrowisata dengan suasana sawah dan perbukitan, sering dijadikan spot healing dan fotografi alam.","paralayang, foto-foto, menikmati pemandangan",15000,"toilet, tempat paralayang, spot foto",Sulit- Akses jalan masih sulit dan jalannya rusak dan curam,4.5,"sunset, pemandangan, view spot",09.00-22.00
tetetana tomohon,"suluan, tombulu, minahasa, sulawesi utara",pegunungan,bukit,gardu pandang di ketinggian yang menyuguhkan lanskap indah kota tomohon dan pegunungan sekitarnya.,"foto-foto, piknik, jalan santai, melihat sunrise/sunset",25000,"gardu pandang, tempat duduk, parkir, toilet",Sedang - jalan menuju lokasi lumayan jauh,4.8,"sunset, pemandangan, view spot",09.00-22.00
gunung lokon,"kayawu, tomohon utara, tomohon, sulawesi utara",pegunungan,gunung,"puncak gunung berapi ikonis & destinasi populer untuk jalan menikmati panorama, plus hiking di sungai lava.","pendakian, trekking, berkemah, fotografi alam",25000,"area parkir, basecamp, pos pendakian","Sedang - Jalur trekking sedang, kadang hanya bisa dijangkau dengan jalan kaki",4.7,"pendakian, jalur hiking, udara dingin",00.00-23.59
gunung klabat,"lembean, kauditan, minahasa utara, sulawesi utara",pegunungan,gunung,gunung berapi ikonis yang menawarkan pendakian menantang & puncak dengan panorama indah & danau kawah.,"pendakian, trekking, berkemah, fotografi alam,",20000,"area parkir, basecamp, pos pendakian","Sulit - Jalur trekking sulit, karena medan gunung yang beragam sampai dengan ketinggian 2100 mdpl",4.5,"pendakian, udara dingin, pemandangan luas, petualangan",00.00-23.59
pantai beau sauk,"sauk, lolak, bolaang mongondow, sulawesi utara",lautan,pantai,"pantai alami yang masih jarang dikunjungi, menawarkan keindahan laut jernih dan ketenangan.","berenang, bermain pasir, snorkeling",15000,"gazebo, toilet, bilas, penyewaan ban/snorkel","Mudah - Jalan datar, bisa dijangkau motor/mobil",4.6,"pasir putih, laut, ombak",00.00-23.59
air terjun kelimbun tumbohon,"tumbohon, talawaan, minahasa utara, sulawesi utara",air terjun,air terjun,air terjun tersembunyi di hutan minahasa dengan suasana hijau dan sejuk.,"mandi di kolam bawah, hiking ke titik air, meditasi suara air",0,tidak ada fasilitas khusus,Sulit- Akses jalan masih sulit dan jalannya sempit hanya setapak,4.6,"segar, deras, tersembunyi",00.00-23.59
patuku beach,"tarabitan, likupang bar., minahasa utara, sulawesi utara",lautan,pantai,pantai berpasir putih yang cocok untuk liburan keluarga dan aktivitas bermain air.,"berenang, bermain pasir, snorkeling",0,"gazebo, toilet, bilas, penyewaan ban/snorkel","Mudah - Jalan datar, bisa dijangkau motor/mobil",5.0,"pasir putih, laut, ombak",00.00-23.59
tanjung merah belang,"pantai timur, minahasa tenggara, sulawesi utara",lautan,pantai,tanjung eksotik dengan bebatuan merah yang kontras dengan birunya laut.,"berenang, berjemur, foto-foto",0,tidak ada fasilitas khusus,Sedang - jalan menuju lokasi lumayan jauh,5.0,"pasir putih, laut, ombak",00.00-23.59
pantai molas,"molas, bunaken, manado, sulawesi utara",lautan,pantai,pantai dekat pusat kota manado yang ideal untuk santai sore dan menikmati sunset.,"berenang, berjemur, foto-foto",10000,"gazebo, toilet, warung",Sedang - Akses jalan hanya bisa dilewati roda 2 dan pejalan kaki,4.6,"pasir putih, laut, ombak",00.00-23.59
wisata bintauna beach,"minanga, bintauna, bolaang mongondow utara, sulawesi utara",lautan,pantai,pantai luas di bolaang mongondow utara dengan hamparan pasir dan ombak tenang.,"berenang, bermain pasir, snorkeling",15000,"penginapan, warung, toilet",Sedang - jalan menuju lokasi lumayan jauh,4.2,"laut, terumbu karang, snorkeling, sunset",09.00-22.00
awu karangetang,"mini, siau bar. utara, siau tagulandang biaro, sulawesi utara",pegunungan,gunung,lokasi dua gunung berapi aktif di kepulauan sitaro yang cocok untuk wisata petualangan.,"pendakian malam, kemping, melihat sunrise",15000,tidak ada fasilitas khusus,"Sulit - Jalur trekking sulit, karena medan gunung berapi yang masih aktif",4.5,"adventure, sunrise, jalur pendakian",00.00-23.59
puncak passi,"gogagoman, kotamobagu bar., kotamobagu, sulawesi utara",pegunungan,bukit,puncak perbukitan dengan panorama indah kota kotamobagu dan sekitarnya.,"foto-foto, jalan santai, melihat sunrise/sunset",5000,"gardu pandang, tempat duduk, parkir","Mudah - Jalan landai, mudah dijangkau kendaraan kecil dan jalan kaki ringan",4.3,"sunset, pemandangan, santai",09.00-22.00
air terjun dodandian,"matabulu, nuangan, bolaang mongondow timur, sulawesi utara",air terjun,air terjun,air terjun alami dengan aliran air deras dan kolam di bawahnya untuk berendam.,"bermain air, fotografi alam, trekking ringan",10000,"gazebo, toilet, warung, tangga/bebatuan","Sedang - Jalur trekking sedang, kadang hanya bisa dijangkau dengan jalan kaki",4.5,"segar, curug, suara air, rindang",00.00-23.59
air terjun timbukar (sapa),"timbukar, sonder, minahasa, sulawesi utara",air terjun,air terjun,air terjun berundak dengan suasana hutan alami yang cocok untuk trekking ringan.,"bermain air, mandi, trekking ringan",10000,"gazebo, toilet, warung, tempat ganti baju","Sedang - Jalur trekking sedang, kadang hanya bisa dijangkau dengan jalan kaki",4.7,"petualangan, alam, keindahan",00.00-23.59
anyo beach,"rerer, tondano utara, minahasa, sulawesi utara",lautan,pantai,"pantai dengan air jernih dan pepohonan rindang, cocok untuk bersantai dan piknik.","berenang, bermain pasir, snorkeling",20000,"gazebo, toilet, warung, parkir","Mudah - Jalan datar, bisa dijangkau motor/mobil",4.5,"pasir putih, laut, ombak",08.00-20.00
wisata air terjun botuliodu,"botuliodu, posigadan, bolaang mongondow selatan, sulawesi utara",air terjun,air terjun,air terjun bertingkat dengan aliran deras di daerah bolmong selatan.,"bermain air, mandi, fotografi alam",0,"toilet, warung, tempat ganti baju, tangga/bebatuan","Mudah - Jalan datar, bisa dijangkau motor/mobil",4.5,"rindang, hijau, alam tersembunyi",08.00-20.00
